saScore,perplexitySource,perplexityTarget,same,cgscore,hassourcecl,hastargetcl,caplettersworddif,onlycaplettersdif,hassourceurl,hastargeturl,urlsim,hassourcetag,hastargettag,tagsim,hassourcenameentity,hastargetnameentity,nersimilarity,hassourcenumber,hastargetnumber,numbersim,hassourceemail,hastargetemail,emailsim,hassourcepunctuation,hastargetpunctuation,punctsim,category
1.16,530.25,7588.61,0.0,0.42184539153,1.0,1.0,0.666666666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.942809041582,1
1.02,97.99,613.01,0.0,-0.0657667052206,1.0,1.0,0.416666666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.267261241912,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.948683298051,1
0.84,3414.53,12079.77,0.0,-0.269817341524,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
1.03,703.96,3804.28,0.0,-0.713429769443,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
1.15,114.4,213.16,0.0,2.35435477899,1.0,1.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
1.46,853.36,698.37,0.0,0.987538454007,1.0,1.0,0.416666666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.288675134595,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
1.93,49.19,64.23,0.0,0.125899371078,1.0,1.0,0.416666666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.824041924199,1
0.32,244.05,3471.02,0.0,0.800500469239,1.0,1.0,0.307692307692,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.964901281354,0
2.75,9980.01,20254.95,0.0,1.0308230012,1.0,1.0,0.0645161290323,0.0,1.0,1.0,0.471404520791,0.0,0.0,1.0,1.0,1.0,0.676123403783,1.0,1.0,0.871825675478,0.0,0.0,1.0,0.0,0.0,0.998543413572,0
-0.23,497.11,305.12,0.0,3.21223947155,1.0,1.0,0.0,0.875,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.23,12784.58,445.83,0.0,0.585779186129,1.0,1.0,0.0714285714286,0.666666666667,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0
0.51,393.34,806.53,0.0,-2.31199487767,1.0,1.0,0.571428571429,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0
0.06,4230.94,1256.34,0.0,-0.986210559023,1.0,1.0,0.3125,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.18,1179.15,1661.24,0.0,0.651057165329,1.0,1.0,0.166666666667,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.632455532034,0
1.12,627.14,1493.68,0.0,1.1595420713,1.0,1.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
2.72,374.5,507.03,0.0,0.401998884053,1.0,1.0,0.625,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.66,98.83,186.96,0.0,0.39986180005,1.0,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4472135955,1
0.46,370.01,673.98,0.0,0.56628889443,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.707106781187,0
0.15,571.37,1837.48,0.0,0.310566476105,1.0,1.0,0.117647058824,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.316227766017,0
3.01,33359.1,3723.8,0.0,0.183631409533,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.77151674981,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
1.29,91.23,357.77,0.0,1.4405881152,1.0,1.0,0.727272727273,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
1.96,102.62,941.35,0.0,-0.169394228329,1.0,1.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
3.53,337.37,317.34,0.0,-0.566441184037,1.0,1.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.632455532034,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
2.19,411.35,1195.17,0.0,0.070604850155,0.0,1.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.99,184.89,340.19,0.0,-0.78404070148,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4472135955,0
0.89,16.94,21.31,0.0,1.12492104408,1.0,1.0,0.526315789474,0.75,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.258198889747,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.894427191,0
0.2,627.13,577.21,0.0,3.56105525808,1.0,1.0,0.666666666667,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.879277843086,0
0.18,2516.31,1892.36,0.0,-0.394718712104,1.0,1.0,0.315789473684,0.666666666667,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0
1.47,987.3,1605.3,0.0,1.50451409727,1.0,1.0,0.340909090909,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.213200716356,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.857492925713,1
0.47,1163.12,1564.06,0.0,0.179532924308,1.0,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.632455532034,0
0.63,169.62,835.96,0.0,0.619879403097,1.0,1.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0
0.13,728.33,394.17,0.0,-1.2228831701,1.0,1.0,0.210526315789,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.282842712475,0
0.29,15217.73,1422.88,0.0,-1.22176198341,1.0,1.0,0.228571428571,0.25,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.571428571429,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.832050294338,0
